 date     , product_id   , purchase , add_to_cart , click , view  
1012024, DQProduk-001 ,87,979,3434,6631
1012024, DQProduk-003 ,9,90,353,535
1012024, DQProduk-009 ,98,927,4573,8043
2012024, DQProduk-001 ,193,1881,6648,7044
2012024, DQProduk-009 ,36,390,1298,1542
3012024, DQProduk-001 ,22,233,1229,2246
3012024, DQProduk-003 ,11,89,385,701
3012024, DQProduk-009 ,28,324,1289,1579
4012024, DQProduk-001 ,58,607,2591,3871
4012024, DQProduk-003 ,21,170,883,1614
4012024, DQProduk-009 ,22,253,1138,1805
5012024, DQProduk-001 ,160,1777,6372,11430
5012024, DQProduk-009 ,125,1124,6151,8409
6012024, DQProduk-001 ,219,2539,9266,16313
6012024, DQProduk-009 ,145,1464,6157,9985
7012024, DQProduk-001 ,38,402,1850,2296
7012024, DQProduk-009 ,115,1216,4821,5543
8012024, DQProduk-001 ,138,1493,4766,8094
8012024, DQProduk-003 ,12,141,686,1068
8012024, DQProduk-009 ,106,968,3272,5452
9012024, DQProduk-001 ,135,1186,4849,5088
9012024, DQProduk-003 ,5,58,77024,18144
9012024, DQProduk-009 ,19,214,865,1584
10012024, DQProduk-001 ,117,1038,5704,7842
10012024, DQProduk-009 ,77,791,3911,4480
11012024, DQProduk-001 ,99,955,5087,8231
11012024, DQProduk-009 ,49,494,2253,4192
12012024, DQProduk-001 ,63,640,3046,3486
12012024, DQProduk-009 ,81,756,3636,4433
13012024, DQProduk-001 ,129,1227,5576,9874
13012024, DQProduk-003 ,3,28,133,197
13012024, DQProduk-009 ,76,761,3087,3271
14012024, DQProduk-001 ,194,1716,5259,6050
14012024, DQProduk-009 ,127,1028,3527,6301
15012024, DQProduk-001 ,194,2028,6291,11160
15012024, DQProduk-003 ,10,107,590,853
15012024, DQProduk-009 ,104,1146,4955,7693
16012024, DQProduk-001 ,36,412,2302,3838
16012024, DQProduk-009 ,42,428,2151,2624
17012024, DQProduk-001 ,51,488,2857,5206
17012024, DQProduk-009 ,62,706,2130,3539
18012024, DQProduk-001 ,99,852,4752,8754
18012024, DQProduk-009 ,88,720,4139,7303
19012024, DQProduk-001 ,91,922,3881,7237
19012024, DQProduk-009 ,94,954,3572,6417
20012024, DQProduk-001 ,64,733,3395,3769
20012024, DQProduk-003 ,5,49,192,366
20012024, DQProduk-009 ,118,1136,4883,7374
21012024, DQProduk-001 ,189,2072,8324,11425
21012024, DQProduk-009 ,204,1873,10662,19096
22012024, DQProduk-001 ,113,971,5641,10628
22012024, DQProduk-009 ,95,767,3784,4440
23012024, DQProduk-001 ,48,425,2403,4507
23012024, DQProduk-009 ,151,1331,4334,6550
24012024, DQProduk-001 ,38,331,1457,1527
24012024, DQProduk-009 ,57,529,2421,2968
25012024, DQProduk-001 ,151,1355,6474,8509
25012024, DQProduk-009 ,74,730,2196,3021
26012024, DQProduk-001 ,64,661,3912,7507
26012024, DQProduk-009 ,127,1404,7507,11047
27012024, DQProduk-001 ,115,1207,5060,6199
27012024, DQProduk-009 ,78,783,3573,6096
28012024, DQProduk-001 ,193,1715,8110,14103
28012024, DQProduk-009 ,130,1389,4512,5437
29012024, DQProduk-001 ,146,1388,4416,5064
29012024, DQProduk-009 ,192,2151,9423,15547
30012024, DQProduk-001 ,116,1107,3348,4315
30012024, DQProduk-009 ,113,1275,5644,9229
31012024, DQProduk-001 ,81,862,4313,8140
31012024, DQProduk-009 ,49,538,2518,4851
1022024, DQProduk-001 ,103,1014,4595,9039
1022024, DQProduk-003 ,6,57,329,582
1022024, DQProduk-009 ,71,577,3054,5758
2022024, DQProduk-001 ,209,2067,6490,11736
2022024, DQProduk-009 ,99,922,4199,6613
3022024, DQProduk-001 ,132,1210,3936,5140
3022024, DQProduk-003 ,3,28,117,126
3022024, DQProduk-009 ,121,1093,4453,7717
4022024, DQProduk-001 ,180,1618,9118,17880
4022024, DQProduk-009 ,92,1005,4186,4249
5022024, DQProduk-001 ,215,1940,11399,19484
5022024, DQProduk-009 ,178,1866,8105,14459
6022024, DQProduk-001 ,78,629,3369,3609
6022024, DQProduk-009 ,52,478,1491,2269
7022024, DQProduk-001 ,115,1207,4037,7116
7022024, DQProduk-009 ,186,1987,8275,9526
8022024, DQProduk-001 ,98,1114,5821,6185
8022024, DQProduk-009 ,52,417,1671,2466
9022024, DQProduk-001 ,58,669,3084,3655
