product_id,product_name,product_category,product_cost,product_price
DQProduk-001,Buku Agenda DQLab,Merchandise,IDR 149850,IDR 239850
DQProduk-002,Termos Logo DQLab,Merchandise,IDR 149850,IDR 194850
DQProduk-003,Sticky Notes DQLab,Alat Tulis,IDR 29850,IDR 59850
DQProduk-004,Notebook A5 DQLab,Buku Catatan,IDR 149850,IDR 194850
DQProduk-005,Dompet Kartu DQLab,Merchandise,IDR 119850,IDR 149850
DQProduk-006,Earphone Kantor DQLab,Elektronik,IDR 104850,IDR 224850
DQProduk-007,Botol Minum DQLab,Merchandise,IDR 179850,IDR 239850
DQProduk-008,Kartu Nama DQLab,Kertas & Cetak,IDR 59850,IDR 104850
DQProduk-009,Pulpen Metal DQLab,Alat Tulis,IDR 149850,IDR 164850
DQProduk-010,Kotak Serbaguna DQLab,Organisasi,IDR 164850,IDR 224850
DQProduk-011,Bingkai Sertifikat DQLab,Perlengkapan Meja,IDR 164850,IDR 314850
DQProduk-012,Rak Meja DQLab,Organisasi,IDR 134850,IDR 179850
DQProduk-013,Headset Kantor DQLab,Elektronik,IDR 224850,IDR 314850
DQProduk-014,Label Nama DQLab,Kertas & Cetak,IDR 89850,IDR 164850
DQProduk-015,Mousepad Custom DQLab,Merchandise,IDR 59850,IDR 89850
DQProduk-015,Mousepad Custom DQLab,Merchandise,IDR 59850,IDR 89850
DQProduk-016,Set Pulpen DQLab,Alat Tulis,IDR 44850,IDR 149850
DQProduk-017,Set Tulis Eksekutif DQLab,Merchandise,IDR 209850,IDR 299850
DQProduk-018,Printer Mini DQLab,Elektronik,IDR 524850,IDR 599850
DQProduk-019,Kertas Warna DQLab,Kertas & Cetak,IDR 209850,IDR 239850
DQProduk-020,Papan Klip DQLab,Perlengkapan Meja,IDR 134850,IDR 374850
DQProduk-021,Kalkulator Besar DQLab,Elektronik,IDR 104850,IDR 149850
DQProduk-022,Map Eksklusif DQLab,Organisasi,IDR 209850,IDR 299850
DQProduk-023,Tempat Kartu DQLab,Merchandise,IDR 74850,IDR 149850
DQProduk-024,Label Maker DQLab,Elektronik,IDR 224850,IDR 299850
DQProduk-025,Tipe-X Roller DQLab,Alat Tulis,IDR 29850,IDR 44850
DQProduk-026,Stempel + Tinta DQLab,Elektronik,IDR 314850,IDR 374850
DQProduk-027,Staples + Box DQLab,Perlengkapan Meja,IDR 59850,IDR 74850
DQProduk-028,Penanda Warna DQLab,Alat Tulis,IDR 59850,IDR 164850
DQProduk-029,Gantungan Kunci DQLab,Merchandise,IDR 134850,IDR 299850
DQProduk-030,Powerbank Logo DQLab,Elektronik,IDR 269850,IDR 299850
DQProduk-031,Lakban + Cutter DQLab,Pengemasan,IDR 119850,IDR 134850
DQProduk-032,Timbangan Mini DQLab,Elektronik,IDR 179850,IDR 224850
DQProduk-033,Tumbler Logo DQLab,Merchandise,IDR 164850,IDR 194850
DQProduk-034,Speaker Mini DQLab,Elektronik,IDR 314850,IDR 389850
DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,IDR 59850,IDR 119850
DQProduk-035,Kartu Ucapan DQLab,Kertas & Cetak,IDR 59850,IDR 119850
