trx_id,product_id,trx_date,units
DQTrx00002,DQProduk-001,1012024,1
DQTrx00014,DQProduk-009,1012024,1
DQTrx00034,DQProduk-001,1012024,1
DQTrx00039,DQProduk-009,1012024,1
DQTrx00047,DQProduk-001,1012024,3
DQTrx00059,DQProduk-001,1012024,1
DQTrx00061,DQProduk-001,1012024,1
DQTrx00063,DQProduk-001,1012024,1
DQTrx00068,DQProduk-009,1012024,1
DQTrx00077,DQProduk-001,1012024,1
DQTrx00079,DQProduk-009,1012024,1
DQTrx00081,DQProduk-009,1012024,1
DQTrx00092,DQProduk-009,1012024,1
DQTrx000119,DQProduk-001,1012024,1
DQTrx000137,DQProduk-009,1012024,1
DQTrx000142,DQProduk-009,1012024,1
DQTrx000160,DQProduk-001,1012024,2
DQTrx000162,DQProduk-001,1012024,1
DQTrx000171,DQProduk-001,1012024,1
DQTrx000175,DQProduk-001,1012024,1
DQTrx000184,DQProduk-001,1012024,1
DQTrx000196,DQProduk-009,1012024,1
DQTrx000197,DQProduk-001,1012024,1
DQTrx000222,DQProduk-009,1012024,1
DQTrx000242,DQProduk-001,1012024,1
DQTrx000244,DQProduk-009,1012024,1
DQTrx000247,DQProduk-001,1012024,1
DQTrx000254,DQProduk-009,1012024,1
DQTrx000266,DQProduk-001,1012024,1
DQTrx000274,DQProduk-009,1012024,3
DQTrx000275,DQProduk-001,1012024,1
DQTrx000283,DQProduk-009,1012024,1
DQTrx000286,DQProduk-001,1012024,3
DQTrx000304,DQProduk-009,1012024,1
DQTrx000311,DQProduk-009,1012024,3
DQTrx000320,DQProduk-009,1012024,1
DQTrx000332,DQProduk-001,1012024,1
DQTrx000334,DQProduk-001,1012024,1
DQTrx000340,DQProduk-001,1012024,1
DQTrx000342,DQProduk-001,1012024,1
DQTrx000348,DQProduk-009,1012024,1
DQTrx000350,DQProduk-009,1012024,1
DQTrx000356,DQProduk-009,1012024,1
DQTrx000362,DQProduk-001,1012024,1
DQTrx000364,DQProduk-001,1012024,1
DQTrx000370,DQProduk-009,1012024,1
DQTrx000376,DQProduk-009,1012024,1
DQTrx000386,DQProduk-001,1012024,1
DQTrx000399,DQProduk-009,1012024,1
DQTrx000407,DQProduk-001,1012024,1
DQTrx000422,DQProduk-009,1012024,1
DQTrx000431,DQProduk-009,1012024,2
DQTrx000437,DQProduk-001,1012024,1
DQTrx000445,DQProduk-003,1012024,1
DQTrx000449,DQProduk-001,1012024,1
DQTrx000469,DQProduk-009,1012024,1
DQTrx000473,DQProduk-001,1012024,1
DQTrx000480,DQProduk-003,1012024,1
DQTrx000484,DQProduk-009,1012024,1
DQTrx000494,DQProduk-009,1012024,1
DQTrx000495,DQProduk-001,1012024,1
DQTrx000501,DQProduk-009,1012024,1
DQTrx000503,DQProduk-009,1012024,1
DQTrx000512,DQProduk-009,1012024,3
DQTrx000515,DQProduk-001,1012024,1
DQTrx000518,DQProduk-009,1012024,3
DQTrx000554,DQProduk-001,1012024,1
DQTrx000564,DQProduk-001,1012024,1
DQTrx000565,DQProduk-009,1012024,1
DQTrx000567,DQProduk-009,1012024,1
DQTrx000568,DQProduk-009,1012024,3
DQTrx000571,DQProduk-009,1012024,1
DQTrx000574,DQProduk-009,1012024,1
DQTrx000589,DQProduk-001,1012024,1
DQTrx000592,DQProduk-009,1012024,1
DQTrx000593,DQProduk-009,1012024,1
DQTrx000600,DQProduk-009,1012024,3
DQTrx000605,DQProduk-009,1012024,1
DQTrx000611,DQProduk-009,1012024,3
DQTrx000616,DQProduk-001,1012024,1
DQTrx000618,DQProduk-009,1012024,1
DQTrx000623,DQProduk-001,1012024,2
DQTrx000626,DQProduk-001,1012024,1
DQTrx000628,DQProduk-009,1012024,1
DQTrx000631,DQProduk-009,1012024,1
DQTrx000640,DQProduk-001,1012024,1
DQTrx000642,DQProduk-001,1012024,1
DQTrx000658,DQProduk-001,1012024,1
DQTrx000660,DQProduk-001,1012024,1
DQTrx000663,DQProduk-009,1012024,2
DQTrx000664,DQProduk-009,1012024,1
DQTrx000668,DQProduk-009,1012024,1
DQTrx000677,DQProduk-001,1012024,1
DQTrx000682,DQProduk-001,1012024,1
DQTrx000686,DQProduk-001,1012024,1
DQTrx000688,DQProduk-009,1012024,1
DQTrx000711,DQProduk-001,1012024,1
DQTrx000720,DQProduk-001,1012024,1
DQTrx000754,DQProduk-003,1012024,1
DQTrx000763,DQProduk-001,1012024,1
DQTrx000764,DQProduk-001,1012024,1
DQTrx000769,DQProduk-009,1012024,1
DQTrx000807,DQProduk-009,1012024,3
DQTrx000810,DQProduk-001,1012024,1
DQTrx000818,DQProduk-001,1012024,1
DQTrx000820,DQProduk-001,1012024,2
